Coor X,Coor Y,Floor,Ref Label,CURRENT TIME NANOSECONDS,CURRENT TIME STRING,24:0A:C4:00:98:A0(ESP-BLE-HELLO),7A:7F:D2:59:E2:71(null)
1.0,1.0,1.0,1,64047997390461,2017-11-03T15:22:19.705,-74,NaN
1.0,1.0,1.0,1,64049804727804,2017-11-03T15:22:21.512,-74,NaN
1.0,1.0,1.0,1,64050781604835,2017-11-03T15:22:22.489,-74,NaN
1.0,1.0,1.0,1,64051795537438,2017-11-03T15:22:23.503,-79,NaN
1.0,1.0,1.0,1,64052124803011,2017-11-03T15:22:23.832,-74,NaN
1.0,1.0,1.0,1,64052942798115,2017-11-03T15:22:24.650,-70,NaN
1.0,1.0,1.0,1,64053788377646,2017-11-03T15:22:25.495,-82,NaN
1.0,1.0,1.0,1,64054091634000,2017-11-03T15:22:25.799,-81,NaN
1.0,1.0,1.0,1,64055087151604,2017-11-03T15:22:26.794,-76,NaN
1.0,1.0,1.0,1,64055932618947,2017-11-03T15:22:27.640,-78,NaN
1.0,1.0,1.0,1,64056910407541,2017-11-03T15:22:28.618,-77,NaN
1.0,1.0,1.0,1,64057237111499,2017-11-03T15:22:28.945,-79,NaN
1.0,1.0,1.0,1,64057736450769,2017-11-03T15:22:29.442,-82,NaN
1.0,1.0,1.0,1,64058069872436,2017-11-03T15:22:29.777,-80,NaN
1.0,1.0,1.0,1,64058389682592,2017-11-03T15:22:30.097,-77,NaN
1.0,1.0,1.0,1,64059230983894,2017-11-03T15:22:30.938,-78,NaN
1.0,1.0,1.0,1,64060079855508,2017-11-03T15:22:31.787,-77,NaN
1.0,1.0,1.0,1,64060380915612,2017-11-03T15:22:32.088,-76,NaN
1.0,1.0,1.0,1,64061386260924,2017-11-03T15:22:33.093,-77,NaN
1.0,1.0,1.0,1,64062210652643,2017-11-03T15:22:33.917,-77,NaN
1.0,1.0,1.0,1,64062698272799,2017-11-03T15:22:34.406,-77,NaN
1.0,1.0,1.0,1,64062872535767,2017-11-03T15:22:34.580,-69,NaN
1.0,1.0,1.0,1,64063034932851,2017-11-03T15:22:34.742,-78,NaN
1.0,1.0,1.0,1,64063378064257,2017-11-03T15:22:35.086,-78,NaN
1.0,1.0,1.0,1,64063695808528,2017-11-03T15:22:35.403,-78,NaN
1.0,1.0,1.0,1,64064185399986,2017-11-03T15:22:35.893,-82,NaN
1.0,1.0,1.0,1,64064517175246,2017-11-03T15:22:36.224,-81,NaN
1.0,1.0,1.0,1,64065188697329,2017-11-03T15:22:36.896,-80,NaN
1.0,1.0,1.0,1,64066006143683,2017-11-03T15:22:37.714,-80,NaN
1.0,1.0,1.0,1,64066177664464,2017-11-03T15:22:37.885,-68,NaN
1.0,1.0,1.0,1,64067008083787,2017-11-03T15:22:38.715,-79,NaN
1.0,1.0,1.0,1,64067977879828,2017-11-03T15:22:39.685,-80,NaN
1.0,1.0,1.0,1,64068309799047,2017-11-03T15:22:40.017,-78,NaN
1.0,1.0,1.0,1,64068798408369,2017-11-03T15:22:40.506,-79,NaN
1.0,1.0,1.0,1,64068806226807,2017-11-03T15:22:40.514,-68,NaN
1.0,1.0,1.0,1,64069302472380,2017-11-03T15:22:41.010,-78,NaN
1.0,1.0,1.0,1,64069443608005,2017-11-03T15:22:41.151,-68,NaN
1.0,1.0,1.0,1,64070292193838,2017-11-03T15:22:41.999,-76,NaN
1.0,1.0,1.0,1,64070951125660,2017-11-03T15:22:42.658,-81,NaN
1.0,1.0,1.0,1,64071276573056,2017-11-03T15:22:42.984,-80,NaN
1.0,1.0,1.0,1,64071621468889,2017-11-03T15:22:43.329,-81,NaN
1.0,1.0,1.0,1,64071777094879,2017-11-03T15:22:43.484,-69,NaN
1.0,1.0,1.0,1,64071937954670,2017-11-03T15:22:43.645,-79,NaN
1.0,1.0,1.0,1,64072446550868,2017-11-03T15:22:44.154,-80,NaN
1.0,1.0,1.0,1,64073255314878,2017-11-03T15:22:44.963,-82,NaN
1.0,1.0,1.0,1,64073938013888,2017-11-03T15:22:45.645,-85,NaN
1.0,1.0,1.0,1,64074105984461,2017-11-03T15:22:45.813,-69,NaN
1.0,1.0,1.0,1,64074596996961,2017-11-03T15:22:46.304,-80,NaN
1.0,1.0,1.0,1,64074763377898,2017-11-03T15:22:46.471,-69,NaN
1.0,1.0,1.0,1,64074946709461,2017-11-03T15:22:46.654,-80,NaN
1.0,1.0,1.0,1,64075593407846,2017-11-03T15:22:47.301,-69,NaN
1.0,1.0,1.0,1,64075941385137,2017-11-03T15:22:47.649,-79,NaN
1.0,1.0,1.0,1,64076439650085,2017-11-03T15:22:48.147,-81,NaN
1.0,1.0,1.0,1,64077104849408,2017-11-03T15:22:48.812,-80,NaN
1.0,1.0,1.0,1,64077263933939,2017-11-03T15:22:48.971,-69,NaN
1.0,1.0,1.0,1,64077442182481,2017-11-03T15:22:49.150,-78,NaN
1.0,1.0,1.0,1,64077770750710,2017-11-03T15:22:49.478,-76,NaN
1.0,1.0,1.0,1,64078091080345,2017-11-03T15:22:49.799,-77,NaN
1.0,1.0,1.0,1,64078426023887,2017-11-03T15:22:50.133,-78,NaN
1.0,1.0,1.0,1,64079421162897,2017-11-03T15:22:51.128,-82,NaN
1.0,1.0,1.0,1,64080251273677,2017-11-03T15:22:51.959,-83,NaN
1.0,1.0,1.0,1,64080737153313,2017-11-03T15:22:52.445,-81,NaN
1.0,1.0,1.0,1,64080919254771,2017-11-03T15:22:52.627,-69,NaN
1.0,1.0,1.0,1,64081078319198,2017-11-03T15:22:52.786,-79,NaN
1.0,1.0,1.0,1,64081416843469,2017-11-03T15:22:53.124,-78,NaN
1.0,1.0,1.0,1,64082575950708,2017-11-03T15:22:54.283,-82,NaN
1.0,1.0,1.0,1,64083065785656,2017-11-03T15:22:54.773,-81,NaN
1.0,1.0,1.0,1,64083915914822,2017-11-03T15:22:55.623,-81,NaN
1.0,1.0,1.0,1,64084395679926,2017-11-03T15:22:56.103,-80,NaN
1.0,1.0,1.0,1,64084887769822,2017-11-03T15:22:56.595,-77,NaN
1.0,1.0,1.0,1,64086048361123,2017-11-03T15:22:57.756,-77,NaN
1.0,1.0,1.0,1,64086882237790,2017-11-03T15:22:58.590,-79,NaN
1.0,1.0,1.0,1,64087385394196,2017-11-03T15:22:59.093,-80,NaN
1.0,1.0,1.0,1,64088226860966,2017-11-03T15:22:59.934,-81,NaN
1.0,1.0,1.0,1,64089038652893,2017-11-03T15:23:00.746,-80,NaN
1.0,1.0,1.0,1,64089857799924,2017-11-03T15:23:01.565,-77,NaN
1.0,1.0,1.0,1,64090358741642,2017-11-03T15:23:02.066,-78,NaN
1.0,1.0,1.0,1,64091009363934,2017-11-03T15:23:02.717,-78,NaN
1.0,1.0,1.0,1,64091181548413,2017-11-03T15:23:02.889,-68,NaN
1.0,1.0,1.0,1,64091843557423,2017-11-03T15:23:03.551,-79,NaN
1.0,1.0,1.0,1,64092006956485,2017-11-03T15:23:03.714,-77,NaN
1.0,1.0,1.0,1,64092165358152,2017-11-03T15:23:03.873,-81,NaN
1.0,1.0,1.0,1,64092826736069,2017-11-03T15:23:04.534,-78,NaN
1.0,1.0,1.0,1,64092998027423,2017-11-03T15:23:04.705,-76,NaN
1.0,1.0,1.0,1,64093479168100,2017-11-03T15:23:05.187,-78,NaN
1.0,1.0,1.0,1,64094296934401,2017-11-03T15:23:06.004,-76,NaN
1.0,1.0,1.0,1,64094620115599,2017-11-03T15:23:06.328,-77,NaN
1.0,1.0,1.0,1,64094786096172,2017-11-03T15:23:06.493,-76,NaN
1.0,1.0,1.0,1,64094949996432,2017-11-03T15:23:06.657,-78,NaN
1.0,1.0,1.0,1,64095108747526,2017-11-03T15:23:06.816,-76,NaN
1.0,1.0,1.0,1,64095446424922,2017-11-03T15:23:07.154,-76,NaN
1.0,1.0,1.0,1,64095602232422,2017-11-03T15:23:07.310,-79,NaN
1.0,1.0,1.0,1,64096431514713,2017-11-03T15:23:08.139,-76,NaN
1.0,1.0,1.0,1,64096746342369,2017-11-03T15:23:08.454,-76,NaN
1.0,1.0,1.0,1,64096918483254,2017-11-03T15:23:08.626,-68,NaN
1.0,1.0,1.0,1,64097419260911,2017-11-03T15:23:09.126,-75,NaN
1.0,1.0,1.0,1,64097570761692,2017-11-03T15:23:09.278,-69,NaN
1.0,1.0,1.0,1,64097742060390,2017-11-03T15:23:09.450,-77,NaN
1.0,1.0,1.0,1,64098247082004,2017-11-03T15:23:09.955,-75,NaN
1.0,1.0,1.0,1,64098410703827,2017-11-03T15:23:10.118,-78,NaN
1.0,1.0,1.0,1,64098573887941,2017-11-03T15:23:10.281,-75,NaN
1.0,1.0,1.0,1,64098733462056,2017-11-03T15:23:10.441,-77,NaN
1.0,1.0,1.0,1,64099067083618,2017-11-03T15:23:10.775,-78,NaN
1.0,1.0,1.0,1,64099403020754,2017-11-03T15:23:11.110,-79,NaN
1.0,1.0,1.0,1,64099899877264,2017-11-03T15:23:11.607,-78,NaN
1.0,1.0,1.0,1,64100062504087,2017-11-03T15:23:11.770,-76,NaN
1.0,1.0,1.0,1,64100241719659,2017-11-03T15:23:11.949,-77,NaN
1.0,1.0,1.0,1,64101044180232,2017-11-03T15:23:12.751,-76,NaN
1.0,1.0,1.0,1,64101308942055,2017-11-03T15:23:13.016,NaN,-92
1.0,1.0,1.0,1,64101380933409,2017-11-03T15:23:13.088,-77,NaN
1.0,1.0,1.0,1,64101508033357,2017-11-03T15:23:13.215,NaN,-96
1.0,1.0,1.0,1,64101675593357,2017-11-03T15:23:13.383,NaN,-95
1.0,1.0,1.0,1,64101704798409,2017-11-03T15:23:13.412,-77,NaN
1.0,1.0,1.0,1,64101781195805,2017-11-03T15:23:13.488,NaN,-98
1.0,1.0,1.0,1,64101948772992,2017-11-03T15:23:13.656,NaN,-93
1.0,1.0,1.0,1,64102141673200,2017-11-03T15:23:13.849,NaN,-94
1.0,1.0,1.0,1,64102289305284,2017-11-03T15:23:13.997,NaN,-97
1.0,1.0,1.0,1,64102378956013,2017-11-03T15:23:14.086,-69,NaN
1.0,1.0,1.0,1,64102385520284,2017-11-03T15:23:14.093,NaN,-91
1.0,1.0,1.0,1,64102414040336,2017-11-03T15:23:14.122,NaN,-92
1.0,1.0,1.0,1,64102447198721,2017-11-03T15:23:14.155,NaN,-89
1.0,1.0,1.0,1,64102529049606,2017-11-03T15:23:14.236,NaN,-95
1.0,1.0,1.0,1,64102569035544,2017-11-03T15:23:14.276,-76,-96
1.0,1.0,1.0,1,64102688911221,2017-11-03T15:23:14.396,-76,NaN
1.0,1.0,1.0,1,64103182072992,2017-11-03T15:23:14.890,NaN,-92
1.0,1.0,1.0,1,64103561931325,2017-11-03T15:23:15.269,NaN,-94
1.0,1.0,1.0,1,64103691136429,2017-11-03T15:23:15.399,-68,NaN
1.0,1.0,1.0,1,64104190990023,2017-11-03T15:23:15.898,-75,NaN
1.0,1.0,1.0,1,64104377168512,2017-11-03T15:23:16.085,-78,NaN
1.0,1.0,1.0,1,64104881246168,2017-11-03T15:23:16.589,-79,NaN
1.0,1.0,1.0,1,64105016732470,2017-11-03T15:23:16.724,-76,NaN
1.0,1.0,1.0,1,64105695045855,2017-11-03T15:23:17.403,-75,NaN
1.0,1.0,1.0,1,64106268403824,2017-11-03T15:23:17.975,NaN,-95
Coor X,Coor Y,Floor,Ref Label,CURRENT TIME NANOSECONDS,CURRENT TIME STRING,24:0A:C4:00:98:A0(ESP-BLE-HELLO),7A:7F:D2:59:E2:71(null)
1.0,1.0,1.0,2,64126458557566,2017-11-03T15:23:38.166,-75,NaN
1.0,1.0,1.0,2,64131308220585,2017-11-03T15:23:43.016,-80,NaN
1.0,1.0,1.0,2,64131469814595,2017-11-03T15:23:43.177,-70,NaN
1.0,1.0,1.0,2,64134611553084,2017-11-03T15:23:46.319,-67,NaN
1.0,1.0,1.0,2,64134942676573,2017-11-03T15:23:46.650,-70,NaN
1.0,1.0,1.0,2,64135439241781,2017-11-03T15:23:47.147,-67,NaN
1.0,1.0,1.0,2,64135762660948,2017-11-03T15:23:47.470,-67,NaN
1.0,1.0,1.0,2,64136261303917,2017-11-03T15:23:47.969,-70,NaN
1.0,1.0,1.0,2,64136434098604,2017-11-03T15:23:48.142,-79,NaN
1.0,1.0,1.0,2,64136626810687,2017-11-03T15:23:48.334,-70,NaN
1.0,1.0,1.0,2,64137439260166,2017-11-03T15:23:49.147,-67,NaN
1.0,1.0,1.0,2,64137754991937,2017-11-03T15:23:49.462,-67,NaN
1.0,1.0,1.0,2,64138587344853,2017-11-03T15:23:50.295,-66,NaN
1.0,1.0,1.0,2,64139103088811,2017-11-03T15:23:50.811,-69,NaN
1.0,1.0,1.0,2,64139263690217,2017-11-03T15:23:50.971,-77,NaN
1.0,1.0,1.0,2,64139410817405,2017-11-03T15:23:51.118,-66,NaN
1.0,1.0,1.0,2,64139583684176,2017-11-03T15:23:51.291,-76,NaN
1.0,1.0,1.0,2,64139910658446,2017-11-03T15:23:51.618,-70,NaN
1.0,1.0,1.0,2,64140408109175,2017-11-03T15:23:52.116,-77,NaN
1.0,1.0,1.0,2,64141259113342,2017-11-03T15:23:52.967,-67,NaN
1.0,1.0,1.0,2,64141750250425,2017-11-03T15:23:53.458,-91,NaN
1.0,1.0,1.0,2,64142075817612,2017-11-03T15:23:53.783,-67,NaN
1.0,1.0,1.0,2,64142261853914,2017-11-03T15:23:53.969,-89,NaN
1.0,1.0,1.0,2,64142404828810,2017-11-03T15:23:54.112,-86,NaN
1.0,1.0,1.0,2,64142561456831,2017-11-03T15:23:54.269,-70,NaN
1.0,1.0,1.0,2,64142737165164,2017-11-03T15:23:54.444,-82,NaN
1.0,1.0,1.0,2,64142899349331,2017-11-03T15:23:54.607,-67,NaN
1.0,1.0,1.0,2,64143394385633,2017-11-03T15:23:55.102,-70,NaN
1.0,1.0,1.0,2,64143724884487,2017-11-03T15:23:55.432,-79,NaN
1.0,1.0,1.0,2,64144058041466,2017-11-03T15:23:55.765,-80,NaN
1.0,1.0,1.0,2,64144537285788,2017-11-03T15:23:56.245,-80,NaN
1.0,1.0,1.0,2,64144706943757,2017-11-03T15:23:56.414,-67,NaN
1.0,1.0,1.0,2,64145545383653,2017-11-03T15:23:57.253,-67,NaN
1.0,1.0,1.0,2,64145886838965,2017-11-03T15:23:57.594,-70,NaN
1.0,1.0,1.0,2,64146042875475,2017-11-03T15:23:57.750,-83,NaN
1.0,1.0,1.0,2,64146216810684,2017-11-03T15:23:57.924,-70,NaN
1.0,1.0,1.0,2,64146704667558,2017-11-03T15:23:58.412,-67,NaN
1.0,1.0,1.0,2,64146886612037,2017-11-03T15:23:58.594,-79,NaN
1.0,1.0,1.0,2,64147024680579,2017-11-03T15:23:58.732,-70,NaN
1.0,1.0,1.0,2,64147193107246,2017-11-03T15:23:58.900,-79,NaN
1.0,1.0,1.0,2,64148509619172,2017-11-03T15:24:00.217,-70,NaN
1.0,1.0,1.0,2,64149024319432,2017-11-03T15:24:00.732,-68,NaN
1.0,1.0,1.0,2,64149339062974,2017-11-03T15:24:01.047,-70,NaN
1.0,1.0,1.0,2,64149846287088,2017-11-03T15:24:01.552,-68,NaN
1.0,1.0,1.0,2,64150169260526,2017-11-03T15:24:01.877,-67,NaN
1.0,1.0,1.0,2,64150514175422,2017-11-03T15:24:02.222,-67,NaN
1.0,1.0,1.0,2,64151330417400,2017-11-03T15:24:03.038,-79,NaN
1.0,1.0,1.0,2,64151997488077,2017-11-03T15:24:03.705,-79,NaN
1.0,1.0,1.0,2,64152833801254,2017-11-03T15:24:04.541,-67,NaN
1.0,1.0,1.0,2,64153008603650,2017-11-03T15:24:04.716,-88,NaN
1.0,1.0,1.0,2,64153482342608,2017-11-03T15:24:05.190,-70,NaN
1.0,1.0,1.0,2,64153680549222,2017-11-03T15:24:05.388,-87,NaN
1.0,1.0,1.0,2,64154319758649,2017-11-03T15:24:06.027,-86,NaN
